City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,haiku-pauwela,20.9219,-156.3051,298.16,78,75,4.12,US,1706842120
84,chelno-vershiny,54.4333,51.1,269.51,94,100,4.85,RU,1706842120
85,susuman,62.7833,148.1667,247.03,100,100,0.45,RU,1706842120
86,hazorasp,41.3194,61.0742,267.06,60,67,4.09,UZ,1706842121
87,thompson,55.7435,-97.8558,264.24,92,100,3.09,CA,1706842121
88,betio village,1.358,172.9211,305.17,79,100,7.02,KI,1706842121
89,ribeira grande,38.5167,-28.7,290.25,90,99,4.92,PT,1706841823
90,las palmas de gran canaria,28.0997,-15.4134,294.69,49,0,2.06,ES,1706842122
91,robore,-18.3333,-59.75,298.51,64,11,1.72,BO,1706842122
92,zaranj,30.9667,61.8833,276.13,38,50,3.55,AF,1706842123
93,arteche,12.2645,125.4048,300.21,78,100,4.48,PH,1706841895
94,sitka,57.0531,-135.33,274.09,60,100,5.66,US,1706842123
95,flying fish cove,-10.4217,105.6791,301.97,78,40,2.57,CX,1706842069
96,punta arenas,-53.15,-70.9167,283.21,53,75,5.66,CL,1706842076
97,buka,40.8108,69.1986,272.75,70,16,0.36,UZ,1706842124
98,hamilton,39.1834,-84.5333,283.84,72,0,5.66,US,1706842124
99,yellowknife,62.456,-114.3525,260.6,95,100,3.6,CA,1706841629
100,washington court house,39.5364,-83.4391,280.97,82,0,2.57,US,1706842125
101,la passe,45.5549,-0.8967,284.28,97,99,1.85,FR,1706842125
102,sao joao da barra,-21.6403,-41.0511,297.56,94,100,2.11,BR,1706842127
103,rio grande,-32.035,-52.0986,295.31,83,0,5.59,BR,1706842127
104,siwa oasis,29.2041,25.5195,281.42,63,3,2.59,EG,1706842127
105,nadym,65.5333,72.5167,262.53,91,100,8.07,RU,1706842128
106,broken hill,-31.95,141.4333,302.96,19,0,6.83,AU,1706841926
107,chibougamau,49.9168,-74.3659,263.94,92,100,3.6,CA,1706842128
108,olonkinbyen,70.9221,-8.7187,265.9,59,20,4.01,SJ,1706841815
109,albany,42.6001,-73.9662,275.78,82,100,1.34,US,1706841661
110,udachny,66.4167,112.4,243.86,90,45,1.55,RU,1706841833
111,utrik,11.2278,169.8474,299.21,87,48,11.09,MH,1706842130
112,constantia,44.1833,28.65,273.54,68,72,5.31,RO,1706841845
113,gadzhiyevo,69.2551,33.3362,271.9,69,100,11.87,RU,1706842130
114,east london,-33.0153,27.9116,296.13,86,12,6.3,ZA,1706842131
115,cabo san lucas,22.8909,-109.9124,297.76,76,0,6.69,MX,1706842050
116,port macquarie,-31.4333,152.9167,305.31,61,1,5.09,AU,1706842120
117,tromso,69.6496,18.957,271.16,54,40,3.6,NO,1706842131
118,mount gambier,-37.8333,140.7667,295.57,35,0,4.31,AU,1706841959
119,malmesbury,-33.4608,18.7271,293.02,71,3,0.22,ZA,1706842132
120,tindouf,27.6711,-8.1474,283.4,29,0,2.57,DZ,1706841949
121,porto novo,6.4965,2.6036,302.05,91,13,1.54,BJ,1706842099
122,fort st. john,56.2499,-120.8529,275.09,80,75,2.06,CA,1706842133
123,la toma,-33.0526,-65.6238,297.91,41,0,4.16,AR,1706842133
